,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
173,220,425,0.00214937,1.5151427762953448e-08,0.00010029678393674999,9942.000000000004,0.0001510659381910827
174,230,425,0.00225386,1.872655470346263e-08,0.000224287742247225,4452.000000000002,8.349343800884565e-05
175,240,425,0.00235972,2.3055341498926374e-08,0.00049534289337645,2018.000000000001,4.654420565473785e-05
176,250,425,0.00246712,2.82892328484538e-08,0.001029768118451925,970.9999999999987,2.7471459197029402e-05
177,260,425,0.00257636,3.4618852760999526e-08,0.00192361824994425,520.0000000000009,1.799673753459287e-05
178,270,425,0.00268771,4.22762520036557e-08,0.00301653306202335,332.0,1.401484788477629e-05
179,280,425,0.00280084,1.0652333630420795e-06,0.003692355947857725,270.00000000000114,0.0002884969320631504
180,290,425,0.00291514,1.257317550779469e-06,0.003819916780494,260.999999999999,0.00032914789065558386
181,300,425,0.00303096,1.4796100918914737e-06,0.0036268922164968,273.99999999999943,0.00040795535228797694
182,50,450,0.00049799,1.1059140691578492e-10,1.688332048200903e-13,inf,
183,60,450,0.0005921,1.6831994951101635e-10,1.463335292016533e-12,inf,
184,70,450,0.00068682,2.4980108223863416e-10,1.0067393800741863e-11,inf,
185,80,450,0.00078206,3.6228545674272817e-10,5.789676647761717e-11,inf,
186,90,450,0.00087776,5.146698761112946e-10,2.883261352045779e-10,inf,
187,100,450,0.00097388,7.177668014751571e-10,1.275134212720084e-09,inf,
188,110,450,0.00107042,9.846937473528109e-10,5.1024553760341105e-09,inf,
189,120,450,0.00116734,1.3310315882117366e-09,1.8738868807089336e-08,inf,
190,130,450,0.00126465,1.7754722303955568e-09,6.386888035852503e-08,inf,
191,140,450,0.00136233,2.3399943844408295e-09,2.0383746416844975e-07,inf,
192,150,450,0.00146039,3.050626559288056e-09,6.135829967518469e-07,inf,
193,160,450,0.00155904,3.939926345175062e-09,1.7535103509439753e-06,546935.9999999995,0.0022468794341898597
194,170,450,0.0016588,5.051291908066179e-09,4.787028167746902e-06,204792.99999999994,0.0010552041331404276
195,180,450,0.0017599,6.435808301013607e-09,1.2543845910430238e-05,78951.0,0.000513064999918583
196,190,450,0.00186226,8.150719012359512e-09,3.1623058819591964e-05,31469.000000000015,0.00025774606621260056
197,200,450,0.00196593,1.0266025563607758e-08,7.67263211364e-05,13001.000000000004,0.0001338005708022591
198,210,450,0.00207086,1.2862577417789583e-08,0.00017837710844632502,5598.999999999998,7.210890192033821e-05
199,220,450,0.00217714,1.603962005986544e-08,0.000391628836109475,2551.999999999999,4.095617733159405e-05
200,230,450,0.00228488,1.991660238904517e-08,0.0008535419074002001,1172.0000000000005,2.3334065048673557e-05
201,240,450,0.00239433,2.4643362947072608e-08,0.0016540427194776,605.000000000001,1.4898867276448442e-05
202,250,450,0.00250583,6.764101759258466e-07,0.0027185694737736,366.99999999999943,0.00024881106863417147
203,260,450,0.00261953,8.09651993788958e-07,0.003505435750686825,284.999999999999,0.00023097042746549322
204,270,450,0.00273504,9.658979766945126e-07,0.00357618908922225,278.9999999999998,0.0002700914164761283
205,280,450,0.00285197,1.1479842966309663e-06,0.003236169363907125,307.0000000000015,0.0003547355430263916
206,290,450,0.00297013,1.359212161078793e-06,0.0029779444089228,332.99999999999864,0.00045642630433469217
207,300,450,0.00308992,1.6044111419682212e-06,0.002791919216635725,355.00000000000125,0.0005746624516956991
208,50,475,0.00050139,1.1234000904661382e-10,1.6396609242405436e-12,inf,
209,60,475,0.0005962,1.7131688102056644e-10,1.292447148573469e-11,inf,
210,70,475,0.00069162,2.546730046465088e-10,8.163070969802451e-11,inf,
211,80,475,0.00078755,3.698715140738716e-10,4.341884266215311e-10,inf,
212,90,475,0.00088394,5.260984766200248e-10,2.0121149402764728e-09,inf,
213,100,475,0.00098076,7.34541245062433e-10,8.323739199074344e-09,inf,
214,110,475,0.00107798,1.0086759558614579e-09,3.129497139312893e-08,inf,
