dT,Tf,LTE
301.7241379,533.6206897,1.073972603
313.1034483,533.6206897,1.073972603
324.4827586,533.6206897,1.073972603
335.862069,533.6206897,1.073972603
347.2413793,533.6206897,0.923287671
358.6206897,533.6206897,0.923287671
370,533.6206897,0.923287671
40,543.9655172,inf
51.37931034,543.9655172,inf
62.75862069,543.9655172,inf
74.13793103,543.9655172,512.2191781
85.51724138,543.9655172,113.290411
96.89655172,543.9655172,36.59452055
108.2758621,543.9655172,20.39726027
119.6551724,543.9655172,19.25479452
131.0344828,543.9655172,24.23835616
142.4137931,543.9655172,31.53972603
153.7931034,543.9655172,41.08767123
165.1724138,543.9655172,52.08219178
176.5517241,543.9655172,65.16986301
187.9310345,543.9655172,94.78356164
199.3103448,543.9655172,12.4739726
210.6896552,543.9655172,4.947945205
222.0689655,543.9655172,2.980821918
233.4482759,543.9655172,2.167123288
244.8275862,543.9655172,1.706849315
256.2068966,543.9655172,1.38630137
267.5862069,543.9655172,1.265753425
278.9655172,543.9655172,1.21369863
290.3448276,543.9655172,1.208219178
301.7241379,543.9655172,1.208219178
313.1034483,543.9655172,1.208219178
324.4827586,543.9655172,1.208219178
335.862069,543.9655172,1.052054795
347.2413793,543.9655172,1.052054795
358.6206897,543.9655172,1.052054795
370,543.9655172,1.052054795
40,554.3103448,inf
51.37931034,554.3103448,inf
62.75862069,554.3103448,1688.079452
74.13793103,554.3103448,300.5342466
85.51724138,554.3103448,77.30684932
96.89655172,554.3103448,30.58356164
108.2758621,554.3103448,20.66575342
119.6551724,554.3103448,24.19726027
131.0344828,554.3103448,33.54794521
142.4137931,554.3103448,43.86027397
153.7931034,554.3103448,55.16712329
165.1724138,554.3103448,67.2739726
176.5517241,554.3103448,75.60547945
187.9310345,554.3103448,55.15890411
199.3103448,554.3103448,9.15890411
210.6896552,554.3103448,5.493150685
222.0689655,554.3103448,2.276712329
233.4482759,554.3103448,0.893150685
244.8275862,554.3103448,0.816438356
256.2068966,554.3103448,0.745205479
267.5862069,554.3103448,0.723287671
278.9655172,554.3103448,0.723287671
290.3448276,554.3103448,0.723287671
301.7241379,554.3103448,0.723287671
313.1034483,554.3103448,0.723287671
324.4827586,554.3103448,0.665753425
335.862069,554.3103448,0.665753425
347.2413793,554.3103448,0.665753425
358.6206897,554.3103448,0.665753425
370,554.3103448,0.665753425
